Idaho, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,26.8,0.4
195102,27.5,1.1
195202,21.1,-5.3
195302,29.1,2.7
195402,31.7,5.3
195502,20.3,-6.1
195602,19.1,-7.3
195702,27.3,0.9
195802,32.9,6.5
195902,27.3,0.9
196002,22.1,-4.3
196102,32.5,6.1
196202,26.3,-0.1
196302,35.3,8.9
196402,20.4,-6.0
196502,27.8,1.4
196602,25.2,-1.2
196702,29.5,3.1
196802,31.1,4.7
196902,24.7,-1.7
197002,32.2,5.8
197102,27.5,1.1
197202,27.2,0.8
197302,26.9,0.5
197402,27.5,1.1
197502,24.4,-2.0
197602,25.7,-0.7
197702,29.2,2.8
197802,29.6,3.2
197902,26.4,0.0
198002,31.1,4.7
198102,29.3,2.9
198202,22.7,-3.7
198302,30.5,4.1
198402,23.6,-2.8
198502,18.6,-7.8
198602,31.1,4.7
198702,30.0,3.6
198802,29.4,3.0
198902,18.9,-7.5
199002,24.9,-1.5
199102,34.4,8.0
199202,34.4,8.0
199302,22.5,-3.9
199402,25.2,-1.2
199502,33.3,6.9
199602,27.0,0.6
199702,26.8,0.4
199802,29.4,3.0
199902,27.0,0.6
200002,32.0,5.6
200102,25.1,-1.3
200202,23.9,-2.5
200302,27.1,0.7
200402,26.3,-0.1
200502,28.5,2.1
200602,24.4,-2.0
200702,30.8,4.4
200802,27.6,1.2
200902,27.6,1.2
201002,28.9,2.5
201102,24.3,-2.1
201202,28.0,1.6
201302,27.5,1.1
201402,28.0,1.6
201502,35.2,8.8
201602,31.9,5.5
201702,29.5,3.1
201802,26.2,-0.2
201902,23.2,-3.2
202002,26.2,-0.2
202102,25.3,-1.1
