North Carolina, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,46.4,-2.9
195111,45.4,-3.9
195211,49.2,-0.1
195311,48.5,-0.8
195411,46.2,-3.1
195511,47.9,-1.4
195611,48.1,-1.2
195711,50.6,1.3
195811,52.5,3.2
195911,49.0,-0.3
196011,49.8,0.5
196111,52.1,2.8
196211,47.2,-2.1
196311,49.9,0.6
196411,53.0,3.7
196511,50.3,1.0
196611,49.2,-0.1
196711,45.3,-4.0
196811,49.6,0.3
196911,46.7,-2.6
197011,49.1,-0.2
197111,48.9,-0.4
197211,48.4,-0.9
197311,52.1,2.8
197411,49.1,-0.2
197511,52.4,3.1
197611,43.2,-6.1
197711,52.2,2.9
197811,53.6,4.3
197911,52.4,3.1
198011,47.4,-1.9
198111,49.0,-0.3
198211,51.7,2.4
198311,49.8,0.5
198411,47.2,-2.1
198511,58.8,9.5
198611,53.0,3.7
198711,51.9,2.6
198811,50.7,1.4
198911,50.6,1.3
199011,52.4,3.1
199111,48.4,-0.9
199211,51.0,1.7
199311,50.2,0.9
199411,53.8,4.5
199511,45.9,-3.4
199611,45.5,-3.8
199711,46.8,-2.5
199811,51.8,2.5
199911,54.5,5.2
200011,47.5,-1.8
200111,54.8,5.5
200211,48.1,-1.2
200311,55.7,6.4
200411,52.8,3.5
200511,52.1,2.8
200611,51.5,2.2
200711,49.5,0.2
200811,47.2,-2.1
200911,52.7,3.4
201011,50.0,0.7
201111,52.4,3.1
201211,46.3,-3.0
201311,47.8,-1.5
201411,45.8,-3.5
201511,54.4,5.1
201611,51.7,2.4
201711,50.3,1.0
201811,48.4,-0.9
201911,47.4,-1.9
202011,54.8,5.5
202111,48.0,-1.3
