Utah, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,22.6,-2.7
195101,26.2,0.9
195201,22.9,-2.4
195301,33.7,8.4
195401,30.0,4.7
195501,20.0,-5.3
195601,33.5,8.2
195701,24.1,-1.2
195801,27.3,2.0
195901,29.7,4.4
196001,22.2,-3.1
196101,27.2,1.9
196201,22.0,-3.3
196301,20.1,-5.2
196401,23.7,-1.6
196501,30.3,5.0
196601,25.2,-0.1
196701,25.7,0.4
196801,21.8,-3.5
196901,30.8,5.5
197001,28.8,3.5
197101,28.3,3.0
197201,28.2,2.9
197301,17.5,-7.8
197401,21.7,-3.6
197501,24.1,-1.2
197601,25.8,0.5
197701,24.8,-0.5
197801,29.8,4.5
197901,17.8,-7.5
198001,29.7,4.4
198101,31.8,6.5
198201,25.2,-0.1
198301,29.8,4.5
198401,20.4,-4.9
198501,23.1,-2.2
198601,30.9,5.6
198701,24.4,-0.9
198801,21.9,-3.4
198901,20.8,-4.5
199001,28.4,3.1
199101,22.6,-2.7
199201,24.7,-0.6
199301,25.6,0.3
199401,30.9,5.6
199501,29.4,4.1
199601,29.2,3.9
199701,27.3,2.0
199801,31.8,6.5
199901,31.9,6.6
200001,31.9,6.6
200101,26.3,1.0
200201,26.1,0.8
200301,35.2,9.9
200401,24.2,-1.1
200501,32.6,7.3
200601,29.9,4.6
200701,22.4,-2.9
200801,22.8,-2.5
200901,29.5,4.2
201001,27.0,1.7
201101,25.4,0.1
201201,31.0,5.7
201301,19.7,-5.6
201401,30.4,5.1
201501,32.1,6.8
201601,26.6,1.3
201701,25.9,0.6
201801,32.8,7.5
201901,27.0,1.7
202001,28.7,3.4
202101,28.1,2.8
